Transporter	DDI	Implicated Transporter	Interacting Drug	Affected Drug	AUC	Cmax	CLR	CL/F	t1/2	Effect on PD	Reference							
OAT3		OATs	Nitisinone	Furosemide	1.72	1.12	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/30443705/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_pos=1							
OAT3		OATs	Cefiderocol	Furosemide	1.01	1.00	ND	ND	1.25	ND	https://pubmed.ncbi.nlm.nih.gov/29627897/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_pos=4							
OAT3		OATs/BCRP	Isavuconazole	Methotrexate	0.97	0.89	ND	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/27273004/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_pos=8							
OAT3		OATs	Probenecid (750 mg)	Benzylpenicillin	1.83	ND	0.46	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/24747579/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=3							
OAT3		OATs	Probenecid (1500 mg)	Benzylpenicillin	3.27	ND	0.22	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/24747579/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=3							
OAT3		OATs	PAH (120 mg)	Benzylpenicillin	0.69	ND	1.25	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/24747579/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=3							
OAT3		OATs	PAH (210 mg)	Benzylpenicillin	0.44	ND	1.47	ND	ND	ND	https://pubmed.ncbi.nlm.nih.gov/24747579/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=3							
OAT3		OATs	Probenecid	Mesna	1.89	1.44	0.44	ND	1.05	ND	https://pubmed.ncbi.nlm.nih.gov/21505084/?from_term=OAT1&from_filter=pubt.clinicaltrial&from_sort=date&from_page=2&from_pos=8							
OAT3		OATs	Probenecid	Baricitinib	2.03	1.03	0.31	0.49	1.63	ND	https://pubmed.ncbi.nlm.nih.gov/28749581/?from_term=OAT3&from_filter=pubt.clinicaltrial&from_sort=date&from_pos=8							
OAT3		OATs	Probenecid	Empagliflozin	1.52	1.24	0.46	ND	1.10	ND	https://pubmed.ncbi.nlm.nih.gov/24491572/?from_term=OAT3&from_filter=pubt.clinicaltrial&from_sort=date&from_page=3&from_pos=2							
																		
																		
																		
																		
																		
