Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference	
OAT3	Valsartan	0.36		Bestatin	HEK293-OAT3	https://pubmed.ncbi.nlm.nih.gov/24338900/?from_single_result=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats&expanded_search_query=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats	
OAT3	Telmisartan	1.38		Bestatin	HEK293-OAT3	https://pubmed.ncbi.nlm.nih.gov/24338900/?from_single_result=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats&expanded_search_query=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats	
OAT3	Irbesartan	0.41		Bestatin	HEK293-OAT3	https://pubmed.ncbi.nlm.nih.gov/24338900/?from_single_result=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats&expanded_search_query=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats	
OAT3	Eprosartan	3.8		Bestatin	HEK293-OAT3	https://pubmed.ncbi.nlm.nih.gov/24338900/?from_single_result=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats&expanded_search_query=Inhibitory+Effect+of+Valsartan+on+the+Intestinal+Absorption+and+Renal+Excretion+of+Bestatin+in+Rats	
OAT3	Loxoprofen	34.2		Pemetrexed	HEK-OAT3	https://pubmed.ncbi.nlm.nih.gov/24042472/?from_term=SLC22A6&from_filter=years.2012-2020&from_sort=date&from_page=10&from_pos=9	
OAT3	Ibuprofen	27.9		Pemetrexed	HEK-OAT3	https://pubmed.ncbi.nlm.nih.gov/24042472/?from_term=SLC22A6&from_filter=years.2012-2020&from_sort=date&from_page=10&from_pos=9	
OAT3	Pravastatin	76.3		Pemetrexed	HEK-OAT3	https://pubmed.ncbi.nlm.nih.gov/24042472/?from_term=SLC22A6&from_filter=years.2012-2020&from_sort=date&from_page=10&from_pos=9	
OAT3	Cefazolin	650		Pemetrexed	HEK-OAT3	https://pubmed.ncbi.nlm.nih.gov/24042472/?from_term=SLC22A6&from_filter=years.2012-2020&from_sort=date&from_page=10&from_pos=9	
OAT3	Nateglinide	0.86		6-CF	COS-7-OAT3	https://pubmed.ncbi.nlm.nih.gov/22973893/?from_term=guofeng+you+library&from_sort=date&from_pos=2	
OAT3	Oxaprozin	0.87		6-CF	COS-7-OAT3	https://pubmed.ncbi.nlm.nih.gov/22973893/?from_term=guofeng+you+library&from_sort=date&from_pos=2	
OAT3	Nitazoxanide	0.154		6-CF	COS-7-OAT3	https://pubmed.ncbi.nlm.nih.gov/22973893/?from_term=guofeng+you+library&from_sort=date&from_pos=2	
OAT3	Valsartan	0.25		6-CF	COS-7-OAT3	https://pubmed.ncbi.nlm.nih.gov/22973893/?from_term=guofeng+you+library&from_sort=date&from_pos=2	
OAT3	Ethacrynic acid	0.662		6-CF	COS-7-OAT3	https://pubmed.ncbi.nlm.nih.gov/22973893/?from_term=guofeng+you+library&from_sort=date&from_pos=2	
